EggNOG,locus_tag,old_locus_tag,COG,minPos,maxPos,Orient,gene_id,NCBI_desc,protein_id,gi_id,pfam_id,interpro_id,EC_num,unknown,COG_desc,unknown2,NOG_desc
ENOG4105KA4,OG1RF_RS00305,OG1RF_10060,COG0632,68199,68870,+,ruvA,crossover junction ATP-dependent DNA helicase RuvA,AEA92747.1,GI:327533913,"PF01330,PF07499",IPR000085,3.6.1.-,L,Holliday junction resolvasome RuvABC DNA-binding subunit,L,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)"
NA,Intergenic_60_68871_68882,Intergenic_60_68871_68882,NA,68871,68882,.,Intergenic_60_68871_68882,Intergenic_60_68871_68882,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CKJ,OG1RF_RS00310,OG1RF_10061,COG2255,68883,69899,+,ruvB,crossover junction ATP-dependent DNA helicase RuvB,AEA92748.1,GI:327533914,"PF05496,PF00004,PF05491",IPR004605,3.6.1.-,L,"Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit",L,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing (By similarity)"
NA,Intergenic_61_69900_70014,Intergenic_61_69900_70014,NA,69900,70014,.,Intergenic_61_69900_70014,Intergenic_61_69900_70014,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00315,OG1RF_10062,NA,70015,70452,-,NA,hypothetical protein,AEA92749.1,GI:327533915,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_62_70453_70517,Intergenic_62_70453_70517,NA,70453,70517,.,Intergenic_62_70453_70517,Intergenic_62_70453_70517,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C9S,OG1RF_RS00320,OG1RF_10063,COG3010,70518,71363,+,NA,N-acylglucosamine-6-phosphate 2-epimerase,AEA92750.1,GI:327533916,PF04131,IPR007260,5.1.3.9,G,Putative N-acetylmannosamine-6-phosphate epimerase,G,Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P) (By similarity)
NA,Intergenic_63_71364_71540,Intergenic_63_71364_71540,NA,71364,71540,.,Intergenic_63_71364_71540,Intergenic_63_71364_71540,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107WCA,OG1RF_RS00325,OG1RF_10064,NA,71541,73880,+,NA,glycoside hydrolase family protein,AEA92751.1,GI:327533917,PF05592,NA,NA,NA,NA,G,isomerase
NA,Intergenic_64_73881_74426,Intergenic_64_73881_74426,NA,73881,74426,.,Intergenic_64_73881_74426,Intergenic_64_73881_74426,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105WT3,OG1RF_RS00330,OG1RF_10065,NA,74427,75344,+,NA,cro/CI family transcriptional regulator,AEA92752.1,GI:327533918,PF01381,NA,NA,NA,NA,K,Transcriptional regulator
NA,Intergenic_65_75345_75387,Intergenic_65_75345_75387,NA,75345,75387,.,Intergenic_65_75345_75387,Intergenic_65_75345_75387,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105TV1,OG1RF_RS00335,OG1RF_10066,COG0664,75388,76041,-,NA,crp/Fnr family transcriptional regulator,AEA92753.1,GI:327533919,NA,IPR011991,NA,T,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,K,Transcriptional regulator
NA,OG1RF_RS00340,OG1RF_10067,NA,76041,76193,+,NA,hypothetical protein,AEA92754.1,GI:327533920,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_67_76194_76314,Intergenic_67_76194_76314,NA,76194,76314,.,Intergenic_67_76194_76314,Intergenic_67_76194_76314,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CYX,OG1RF_RS00345,OG1RF_10068,COG1028,76315,77208,+,fabG,3-oxoacyl-[acyl-carrier-protein] reductase,AEA92755.1,GI:327533921,PF00106,IPR002198,1.1.1.100,IQR,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",S,Short-chain dehydrogenase reductase Sdr
NA,Intergenic_68_77209_77220,Intergenic_68_77209_77220,NA,77209,77220,.,Intergenic_68_77209_77220,Intergenic_68_77209_77220,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107JY5,OG1RF_RS00350,OG1RF_10069,NA,77221,77793,+,NA,hypothetical protein,AEA92756.1,GI:327533922,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_69_77794_77805,Intergenic_69_77794_77805,NA,77794,77805,.,Intergenic_69_77794_77805,Intergenic_69_77794_77805,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107CD3,OG1RF_RS00355,OG1RF_10070,NA,77806,77997,+,NA,hypothetical protein,AEA92757.1,GI:327533923,NA,NA,NA,NA,NA,S,Small integral membrane protein (DUF2273)
NA,Intergenic_70_77998_78009,Intergenic_70_77998_78009,NA,77998,78009,.,Intergenic_70_77998_78009,Intergenic_70_77998_78009,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108Z3A,OG1RF_RS00360,OG1RF_10071,COG1302,78010,78522,+,NA,stress response regulator Gls24,AEA92758.1,GI:327533924,PF03780,IPR005531,NA,S,"Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family",S,general stress protein
NA,Intergenic_71_78523_78580,Intergenic_71_78523_78580,NA,78523,78580,.,Intergenic_71_78523_78580,Intergenic_71_78523_78580,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108Z3A,OG1RF_RS00365,OG1RF_10072,COG1302,78581,79141,+,NA,stress response regulator Gls24,AEA92759.1,GI:327533925,PF03780,IPR005531,NA,S,"Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family",S,general stress protein
NA,Intergenic_72_79142_79164,Intergenic_72_79142_79164,NA,79142,79164,.,Intergenic_72_79142_79164,Intergenic_72_79142_79164,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105W0Q,OG1RF_RS00370,OG1RF_10073,COG2261,79165,79407,+,NA,transglycosylase associated protein,AEA92760.1,GI:327533926,PF04226,IPR007341,NA,R,"Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family",S,integral membrane protein
NA,Intergenic_73_79408_79571,Intergenic_73_79408_79571,NA,79408,79571,.,Intergenic_73_79408_79571,Intergenic_73_79408_79571,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00375,OG1RF_10074,NA,79572,80087,+,NA,hypothetical protein,AEA92761.1,GI:327533927,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_74_80088_80241,Intergenic_74_80088_80241,NA,80088,80241,.,Intergenic_74_80088_80241,Intergenic_74_80088_80241,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41062VG,OG1RF_RS00380,OG1RF_10075,NA,80242,80757,+,NA,hypothetical protein,AEA92762.1,GI:327533928,NA,NA,NA,NA,NA,S,secreted protein
ENOG4106F63,OG1RF_RS00385,OG1RF_10076,NA,80757,82154,+,NA,hypothetical protein,AEA92763.1,GI:327533929,NA,NA,NA,NA,NA,S,NA
NA,OG1RF_RS00390,OG1RF_10077,NA,82151,82456,+,atpF,ATP synthase F0 sector subunit B,AEA92764.1,GI:327533930,NA,NA,3.6.3.14,NA,NA,NA,NA
NA,Intergenic_77_82457_82465,Intergenic_77_82457_82465,NA,82457,82465,.,Intergenic_77_82457_82465,Intergenic_77_82457_82465,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00395,OG1RF_10078,NA,82466,82732,+,NA,hypothetical protein,AEA92765.1,GI:327533931,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_78_82733_83028,Intergenic_78_82733_83028,NA,82733,83028,.,Intergenic_78_82733_83028,Intergenic_78_82733_83028,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CZM,OG1RF_RS00400,OG1RF_10079,COG0477,83029,84264,+,NA,major facilitator family transporter,AEA92766.1,GI:327533932,PF07690,IPR011701,NA,GEPR,MFS family permease,G,Major Facilitator
NA,Intergenic_79_84265_84284,Intergenic_79_84265_84284,NA,84265,84284,.,Intergenic_79_84265_84284,Intergenic_79_84265_84284,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00405,OG1RF_10080,NA,84285,84464,+,NA,hypothetical protein,AEA92767.1,GI:327533933,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_80_84465_84484,Intergenic_80_84465_84484,NA,84465,84484,.,Intergenic_80_84465_84484,Intergenic_80_84465_84484,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_10081,NA,84485,84694,+,hupB,DNA-binding protein,AEA92768.1,GI:327533934,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_81_84695_84820,Intergenic_81_84695_84820,NA,84695,84820,.,Intergenic_81_84695_84820,Intergenic_81_84695_84820,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105HS4,OG1RF_RS00410,OG1RF_10082,NA,84821,86305,-,NA,M protein trans-acting positive regulator,AEA92769.1,GI:327533935,PF05043,IPR007737,NA,NA,NA,S,M protein trans-acting positive regulator
ENOG4106IFC,OG1RF_RS00415,OG1RF_10083,NA,86299,87786,-,NA,M protein trans-acting positive regulator,AEA92770.1,GI:327533936,PF05043,NA,NA,NA,NA,K,regulatoR
NA,Intergenic_83_87787_88487,Intergenic_83_87787_88487,NA,87787,88487,.,Intergenic_83_87787_88487,Intergenic_83_87787_88487,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105X0A,OG1RF_RS00420,OG1RF_10084,COG4932,88488,94595,+,NA,cell wall surface anchor protein,AEA92771.1,GI:327533937,"PF05737,PF05738",IPR008454,NA,S,Uncharacterized surface anchored protein,M,Cell wall anchor domain protein
NA,Intergenic_84_94596_94868,Intergenic_84_94596_94868,NA,94596,94868,.,Intergenic_84_94596_94868,Intergenic_84_94596_94868,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108X8M,OG1RF_RS00425,OG1RF_10085,COG1597,94869,95783,+,NA,diacylglycerol kinase catalytic domain protein,AEA92772.1,GI:327533938,PF00781,IPR005218,NA,IR,Diacylglycerol kinase family enzyme,I,"Lipid kinase, YegS Rv2252 BmrU family"
NA,Intergenic_85_95784_95864,Intergenic_85_95784_95864,NA,95784,95864,.,Intergenic_85_95784_95864,Intergenic_85_95784_95864,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106IFC,OG1RF_RS00430,OG1RF_10086,NA,95865,97370,+,NA,M protein trans-acting positive regulator,AEA92773.1,GI:327533939,PF05043,NA,NA,NA,NA,K,regulatoR
NA,Intergenic_86_97371_97715,Intergenic_86_97371_97715,NA,97371,97715,.,Intergenic_86_97371_97715,Intergenic_86_97371_97715,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00435,OG1RF_10087,NA,97716,97955,+,NA,hypothetical protein,AEA92774.1,GI:327533940,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_87_97956_97969,Intergenic_87_97956_97969,NA,97956,97969,.,Intergenic_87_97956_97969,Intergenic_87_97956_97969,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106E7F,OG1RF_RS00440,OG1RF_10088,NA,97970,101047,+,NA,cell wall surface anchor family protein,AEA92775.1,GI:327533941,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_88_101048_101214,Intergenic_88_101048_101214,NA,101048,101214,.,Intergenic_88_101048_101214,Intergenic_88_101048_101214,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105TMB,OG1RF_RS00445,OG1RF_10089,COG2116,101215,101985,+,NA,formate/nitrite transporter,AEA92776.1,GI:327533942,PF01226,IPR000292,NA,P,"Formate/nitrite transporter FocA, FNT family",P,Formate nitrite transporter
NA,Intergenic_89_101986_102140,Intergenic_89_101986_102140,NA,101986,102140,.,Intergenic_89_101986_102140,Intergenic_89_101986_102140,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41090CA,OG1RF_RS00450,OG1RF_10090,NA,102141,102926,+,NA,putative lipoprotein,AEA92777.1,GI:327533943,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_90_102927_102984,Intergenic_90_102927_102984,NA,102927,102984,.,Intergenic_90_102927_102984,Intergenic_90_102927_102984,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105WWK,OG1RF_RS00455,OG1RF_10091,COG2964,102985,103665,-,NA,hypothetical protein,AEA92778.1,GI:327533944,PF08348,IPR013559,NA,K,"Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains",E,YheO domain protein
NA,Intergenic_91_103666_103921,Intergenic_91_103666_103921,NA,103666,103921,.,Intergenic_91_103666_103921,Intergenic_91_103666_103921,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107KQT,OG1RF_RS00460,OG1RF_10092,COG1299,103922,105028,+,pfoR,perfringolysin O regulator protein,AEA92779.1,GI:327533945,NA,NA,NA,G,"Phosphotransferase system, fructose-specific IIC component",G,Perfringolysin O regulator protein
ENOG4108UZK,OG1RF_RS00465,OG1RF_10093,COG1760,105003,105710,+,sdaB,"L-serine dehydratase, iron-sulfur-dependent, beta subunit",AEA92780.1,GI:327533946,PF03315,IPR004643,4.3.1.17,E,L-serine deaminase,E,"L-serine dehydratase, iron-sulfur-dependent, beta subunit"
NA,Intergenic_93_105711_105724,Intergenic_93_105711_105724,NA,105711,105724,.,Intergenic_93_105711_105724,Intergenic_93_105711_105724,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EJQ,OG1RF_RS00470,OG1RF_10094,COG1760,105725,106618,+,sdaA,"L-serine dehydratase, iron-sulfur-dependent, alpha subunit",AEA92781.1,GI:327533947,PF03313,IPR004642,4.3.1.17,E,L-serine deaminase,E,L-serine dehydratase
NA,Intergenic_94_106619_106644,Intergenic_94_106619_106644,NA,106619,106644,.,Intergenic_94_106619_106644,Intergenic_94_106619_106644,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CGR,OG1RF_RS00475,OG1RF_10095,COG0172,106645,107916,+,serS,serine--tRNA ligase,AEA92782.1,GI:327533948,"PF02403,PF00587",IPR002317,6.1.1.11,J,Seryl-tRNA synthetase,J,"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)"
NA,Intergenic_95_107917_107952,Intergenic_95_107917_107952,NA,107917,107952,.,Intergenic_95_107917_107952,Intergenic_95_107917_107952,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107TNZ,OG1RF_RS00480,OG1RF_10096,COG2267,107953,108903,-,NA,alpha/beta hydrolase fold family hydrolase,AEA92783.1,GI:327533949,PF00561,NA,NA,I,"Lysophospholipase, alpha-beta hydrolase superfamily",I,alpha beta
NA,Intergenic_96_108904_109033,Intergenic_96_108904_109033,NA,108904,109033,.,Intergenic_96_108904_109033,Intergenic_96_108904_109033,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105XBY,OG1RF_RS00485,OG1RF_10097,COG1438,109034,109513,-,NA,ArgR family transcriptional regulator,AEA92784.1,GI:327533950,"PF01316,PF02863",IPR001669,NA,K,Arginine repressor,K,Regulates arginine biosynthesis genes (By similarity)
NA,Intergenic_97_109514_109731,Intergenic_97_109514_109731,NA,109514,109731,.,Intergenic_97_109514_109731,Intergenic_97_109514_109731,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105XBY,OG1RF_RS00490,OG1RF_10098,COG1438,109732,110244,+,argR,arginine repressor,AEA92785.1,GI:327533951,"PF01316,PF02863",IPR001669,NA,K,Arginine repressor,K,Regulates arginine biosynthesis genes (By similarity)
NA,Intergenic_98_110245_110540,Intergenic_98_110245_110540,NA,110245,110540,.,Intergenic_98_110245_110540,Intergenic_98_110245_110540,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CEU,OG1RF_RS00495,OG1RF_10099,COG2235,110541,111767,+,arcA,arginine deiminase,AEA92786.1,GI:327533952,PF02274,IPR003876,3.5.3.6,E,Arginine deiminase,E,Arginine dihydrolase
ENOG4105DBV,OG1RF_RS00500,OG1RF_10100,COG0078,111754,112815,+,arcB,ornithine carbamoyltransferase,AEA92787.1,GI:327533953,"PF02729,PF00185",IPR002292,2.1.3.3,E,Ornithine carbamoyltransferase,E,ornithine carbamoyltransferase
NA,Intergenic_100_112816_112920,Intergenic_100_112816_112920,NA,112816,112920,.,Intergenic_100_112816_112920,Intergenic_100_112816_112920,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C5B,OG1RF_RS00505,OG1RF_10101,COG0549,112921,113853,+,arcC,carbamate kinase,AEA92788.1,GI:327533954,PF00696,IPR001048,2.7.2.2,E,Carbamate kinase,E,carbamate kinase
NA,Intergenic_101_113854_113877,Intergenic_101_113854_113877,NA,113854,113877,.,Intergenic_101_113854_113877,Intergenic_101_113854_113877,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105IJS,OG1RF_RS00510,OG1RF_10102,NA,113878,114570,+,ntcA,global nitrogen regulator NtcA,AEA92789.1,GI:327533955,PF00027,IPR014710,NA,NA,NA,K,Transcriptional regulator
NA,Intergenic_102_114571_114617,Intergenic_102_114571_114617,NA,114571,114617,.,Intergenic_102_114571_114617,Intergenic_102_114571_114617,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CSX,OG1RF_RS00515,OG1RF_10103,COG1288,114618,116069,+,NA,UIT3 family protein,AEA92790.1,GI:327533956,PF03606,IPR004669,NA,R,"Uncharacterized membrane protein YfcC, ion transporter superfamily",S,c4-dicarboxylate anaerobic carrier
NA,Intergenic_103_116070_116159,Intergenic_103_116070_116159,NA,116070,116159,.,Intergenic_103_116070_116159,Intergenic_103_116070_116159,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DJN,OG1RF_RS00520,OG1RF_10104,COG0693,116160,116840,-,NA,ThiJ/PfpI family protein,AEA92791.1,GI:327533957,PF01965,IPR002818,NA,R,Putative intracellular protease/amidase,F,thiJ pfpI
ENOG4105VE8,OG1RF_RS00525,OG1RF_10105,NA,116837,117172,-,NA,ArsR family transcriptional regulator,AEA92792.1,GI:327533958,PF01022,IPR011991,NA,NA,NA,K,"Transcriptional regulator, arsr family"
NA,Intergenic_105_117173_117351,Intergenic_105_117173_117351,NA,117173,117351,.,Intergenic_105_117173_117351,Intergenic_105_117173_117351,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107RY4,OG1RF_RS00530,OG1RF_10106,COG0604,117352,118368,+,NA,oxidoreductase,AEA92793.1,GI:327533959,"PF08240,PF00107",IPR002085,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase,C,Alcohol dehydrogenase GroES-like domain
NA,Intergenic_106_118369_118537,Intergenic_106_118369_118537,NA,118369,118537,.,Intergenic_106_118369_118537,Intergenic_106_118369_118537,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41069UX,OG1RF_RS00535,OG1RF_10107,COG3525,118538,121087,+,NA,family 20 glycosyl hydrolase,AEA92794.1,GI:327533960,PF00728,IPR015883,3.2.1.52,G,N-acetyl-beta-hexosaminidase,G,Beta-N-acetyl-hexosaminidase
NA,Intergenic_107_121088_121515,Intergenic_107_121088_121515,NA,121088,121515,.,Intergenic_107_121088_121515,Intergenic_107_121088_121515,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107S39,OG1RF_RS00540,OG1RF_10108,COG0251,121516,122784,+,NA,endoribonuclease L-PSP,AEA92795.1,GI:327533961,PF01042,IPR013813,NA,V,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family",J,endoribonuclease L-psp
NA,Intergenic_108_122785_122833,Intergenic_108_122785_122833,NA,122785,122833,.,Intergenic_108_122785_122833,Intergenic_108_122785_122833,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105QNG,OG1RF_RS00545,OG1RF_10109,COG4815,122834,123277,-,NA,hypothetical protein,AEA92796.1,GI:327533962,PF08877,IPR011235,NA,S,Uncharacterized protein,S,MepB protein
ENOG4107U9B,OG1RF_RS00550,OG1RF_10110,COG1167,123274,124686,-,NA,GntR family transcriptional regulator,AEA92797.1,GI:327533963,"PF00392,PF00155",IPR015421,NA,KE,"DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain",K,transcriptional regulator
NA,Intergenic_110_124687_124783,Intergenic_110_124687_124783,NA,124687,124783,.,Intergenic_110_124687_124783,Intergenic_110_124687_124783,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CIF,OG1RF_RS00555,OG1RF_10111,COG2423,124784,125749,+,NA,ornithine cyclodeaminase/mu-crystallin family protein,AEA92798.1,GI:327533964,PF02423,IPR003462,NA,E,"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family",E,Ornithine Cyclodeaminase
NA,Intergenic_111_125750_125750,Intergenic_111_125750_125750,NA,125750,125750,.,Intergenic_111_125750_125750,Intergenic_111_125750_125750,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107TIF,OG1RF_RS00560,OG1RF_10112,COG0384,125751,126539,+,phzF,phenazine biosynthesis protein PhzF,AEA92799.1,GI:327533965,PF02567,IPR003719,5.1.-.-,R,"Predicted epimerase YddE/YHI9, PhzF superfamily",S,"Phenazine biosynthesis protein, PhzF family"
NA,Intergenic_112_126540_126587,Intergenic_112_126540_126587,NA,126540,126587,.,Intergenic_112_126540_126587,Intergenic_112_126540_126587,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105VNV,OG1RF_RS00565,OG1RF_10113,NA,126588,127133,-,NA,"cob(I)yrinic acid a,c-diamide adenosyltransferase",AEA92800.1,GI:327533966,PF01923,IPR002779,NA,NA,NA,S,Adenosyltransferase
NA,Intergenic_113_127134_127283,Intergenic_113_127134_127283,NA,127134,127283,.,Intergenic_113_127134_127283,Intergenic_113_127134_127283,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00575,OG1RF_10114,NA,127284,127625,-,NA,hypothetical protein,AEA92801.1,GI:327533967,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_114_127626_127762,Intergenic_114_127626_127762,NA,127626,127762,.,Intergenic_114_127626_127762,Intergenic_114_127626_127762,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CM0,OG1RF_RS00580,OG1RF_10115,COG0519,127763,129325,-,guaA,GMP synthase (glutamine-hydrolyzing),AEA92802.1,GI:327533968,"PF00117,PF02540,PF00958",IPR001674,6.3.5.2,F,"GMP synthase, PP-ATPase domain/subunit",F,Catalyzes the synthesis of GMP from XMP (By similarity)
NA,Intergenic_115_129326_129636,Intergenic_115_129326_129636,NA,129326,129636,.,Intergenic_115_129326_129636,Intergenic_115_129326_129636,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CS9,OG1RF_RS00585,OG1RF_10116,COG1072,129637,130560,-,coaA,pantothenate kinase,AEA92803.1,GI:327533969,PF00485,IPR004566,2.7.1.33,H,Panthothenate kinase,H,pantothenic acid kinase
NA,Intergenic_116_130561_130714,Intergenic_116_130561_130714,NA,130561,130714,.,Intergenic_116_130561_130714,Intergenic_116_130561_130714,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106ES7,OG1RF_RS00590,OG1RF_10117,NA,130715,131302,+,NA,lipase/acylhydrolase,AEA92804.1,GI:327533970,PF00657,IPR013831,NA,NA,NA,E,GDSL-like Lipase/Acylhydrolase
NA,Intergenic_117_131303_131316,Intergenic_117_131303_131316,NA,131303,131316,.,Intergenic_117_131303_131316,Intergenic_117_131303_131316,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107Y49,OG1RF_RS00595,OG1RF_10118,COG2813,131317,131925,+,rsmc,methyltransferase domain protein,AEA92805.1,GI:327533971,PF05175,IPR007848,NA,J,16S rRNA G1207 methylase RsmC,J,methyltransferase
NA,Intergenic_118_131926_131957,Intergenic_118_131926_131957,NA,131926,131957,.,Intergenic_118_131926_131957,Intergenic_118_131926_131957,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EKD,OG1RF_RS00600,OG1RF_10119,COG1816,131958,132989,-,add,adenosine deaminase,AEA92806.1,GI:327533972,PF00962,IPR001365,3.5.4.4,F,Adenosine deaminase,F,Catalyzes the hydrolytic deamination of adenine to hypoxanthine. Plays an important role in the purine salvage pathway and in nitrogen catabolism (By similarity)
NA,Intergenic_119_132990_133091,Intergenic_119_132990_133091,NA,132990,133091,.,Intergenic_119_132990_133091,Intergenic_119_132990_133091,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107KJX,OG1RF_RS00605,OG1RF_10120,COG1609,133092,134138,+,NA,LacI family sugar-binding transcriptional regulator,AEA92807.1,GI:327533973,"PF00356,PF00532",IPR001761,NA,K,"DNA-binding transcriptional regulator, LacI/PurR family",K,Transcriptional regulator
NA,Intergenic_120_134139_134170,Intergenic_120_134139_134170,NA,134139,134170,.,Intergenic_120_134139_134170,Intergenic_120_134139_134170,NA,NA,NA,NA,NA,NA,NA,NA,NA
